beta,prior_a,prior_b,fairness_weight,comm_weight,first_action,w_other,p_own,p_other,p_alternation
2,1,1,0.1,0,other,0,0.03916572279676441,0.9608342772032362,0.03916572279676441
2,1,1,0.1,0,other,0.1,0.08317269649392248,0.9168273035060776,0.08317269649392248
2,1,1,0.1,0,other,0.2,0.16798161486607577,0.8320183851339239,0.16798161486607577
2,1,1,0.1,0,other,0.3,0.3100255188723875,0.6899744811276128,0.3100255188723875
2,1,1,0.1,0,other,0.4,0.49999999999999994,0.5000000000000004,0.49999999999999994
2,1,1,0.1,0,other,0.5,0.6899744811276123,0.3100255188723875,0.6899744811276123
2,1,1,0.1,0,other,0.6,0.8320183851339247,0.16798161486607546,0.8320183851339247
2,1,1,0.1,0,other,0.7,0.9168273035060776,0.08317269649392225,0.9168273035060776
2,1,1,0.1,0,other,0.8,0.9608342772032362,0.039165722796764446,0.9608342772032362
2,1,1,0.1,0,other,0.9,0.9820137900379087,0.01798620996209158,0.9820137900379087
2,1,1,0.1,0,other,1,0.9918374288468397,0.008162571153159893,0.9918374288468397
2,1,1,0.1,0,own,0,0.008162571153159893,0.9918374288468397,0.9918374288468397
2,1,1,0.1,0,own,0.1,0.01798620996209158,0.9820137900379087,0.9820137900379087
2,1,1,0.1,0,own,0.2,0.039165722796764446,0.9608342772032362,0.9608342772032362
2,1,1,0.1,0,own,0.3,0.08317269649392225,0.9168273035060776,0.9168273035060776
2,1,1,0.1,0,own,0.4,0.16798161486607546,0.8320183851339247,0.8320183851339247
2,1,1,0.1,0,own,0.5,0.3100255188723875,0.6899744811276123,0.6899744811276123
2,1,1,0.1,0,own,0.6,0.5000000000000004,0.49999999999999994,0.49999999999999994
2,1,1,0.1,0,own,0.7,0.6899744811276128,0.3100255188723875,0.3100255188723875
2,1,1,0.1,0,own,0.8,0.8320183851339239,0.16798161486607577,0.16798161486607577
2,1,1,0.1,0,own,0.9,0.9168273035060776,0.08317269649392248,0.08317269649392248
2,1,1,0.1,0,own,1,0.9608342772032362,0.03916572279676441,0.03916572279676441
